In union,ISO code,Country,MW_1549_1970,MW_1549_1971,MW_1549_1972,MW_1549_1973,MW_1549_1974,MW_1549_1975,MW_1549_1976,MW_1549_1977,MW_1549_1978,MW_1549_1979,MW_1549_1980,MW_1549_1981,MW_1549_1982,MW_1549_1983,MW_1549_1984,MW_1549_1985,MW_1549_1986,MW_1549_1987,MW_1549_1988,MW_1549_1989,MW_1549_1990,MW_1549_1991,MW_1549_1992,MW_1549_1993,MW_1549_1994,MW_1549_1995,MW_1549_1996,MW_1549_1997,MW_1549_1998,MW_1549_1999,MW_1549_2000,MW_1549_2001,MW_1549_2002,MW_1549_2003,MW_1549_2004,MW_1549_2005,MW_1549_2006,MW_1549_2007,MW_1549_2008,MW_1549_2009,MW_1549_2010,MW_1549_2011,MW_1549_2012,MW_1549_2013,MW_1549_2014,MW_1549_2015,MW_1549_2016,MW_1549_2017,MW_1549_2018,MW_1549_2019,MW_1549_2020,MW_1549_2021,MW_1549_2022,MW_1549_2023,MW_1549_2024,MW_1549_2025,MW_1549_2026,MW_1549_2027,MW_1549_2028,MW_1549_2029,MW_1549_2030,MW_1549_2031,MW_1549_2032,MW_1549_2033,MW_1549_2034,MW_1549_2035,MW_1549_2036,MW_1549_2037,MW_1549_2038,MW_1549_2039,MW_1549_2040,MW_1549_2041,MW_1549_2042,MW_1549_2043,MW_1549_2044,MW_1549_2045,MW_1549_2046,MW_1549_2047,MW_1549_2048,MW_1549_2049,MW_1549_2050
1,68,Bolivia (Plurinational State of),657310.6114,673178.2192,689395.1924,705754.7499,722164.5917,738881.354,755956.0892,772216.212,788628.8712,805294.4292,822269.3055,839471.9936,856921.5168,874782.2817,893077.8306,911711.2554,930723.9996,950276.8162,970421.9684,990961.8682,1011650.806,1032380.357,1053116.835,1071981.894,1088956.922,1105876.467,1122995.937,1140752.749,1159863.274,1180557.159,1202092.44,1224855.613,1250992.571,1280123.117,1310491.302,1341874.176,1374248.916,1407450.154,1441171.551,1457002.549,1472437.099,1487578.183,1502238.66,1516191.078,1529581.791,1542371.033,1554560.963,1565843.432,1576041.53,1585405.745,1593846.415,1600857.751,1607388.613,1613861.618,1620757.738,1628012.334,1635472.392,1643094.098,1651118.952,1659867.494,1669285.128,1679354.697,1690021.987,1701113.864,1712516.01,1724234.623,1736291.781,1748410.7,1760411.707,1772488.834,1784837.449,1797542.872,1811109.746,1825961.491,1842071.562,1859439.174,1877994.825,1897948.782,1919319.148,1941727.157,1965571.961
1,70,Bosnia and Herzegovina,597407.553,604460.9713,612474.1736,620993.3199,629278.8071,636868.8745,643620.8587,649591.3466,655131.8658,660415.4762,665410.0527,671782.0108,679769.4754,687616.3274,694938.3508,701683.1829,707883.0108,713471.0495,718322.6273,722519.9458,726231.3009,729590.3767,683549.2729,617109.2835,582131.0996,582708.464,622258.3443,657298.1178,675243.4094,686871.5722,696811.9197,704230.765,708402.3145,707848.8844,700056.7282,690468.776,683363.8575,670484.6553,653379.6619,634600.0661,614564.7102,593752.6168,572294.7779,553463.9997,537649.5566,522196.5145,507748.5484,494803.4044,482805.1832,470932.1374,459021.933,447154.1765,438324.3392,431907.0257,423914.0596,414113.9335,403256.5885,392235.8873,381327.1086,370534.8881,359701.3088,349985.5117,341286.368,332503.0357,324010.1094,316230.0111,309356.8451,303138.4678,297653.3228,292767.2453,288176.305,283444.1445,278901.3407,275612.437,273155.9348,270531.2819,266844.8092,261208.8458,254816.1693,249265.6564,244563.6022
1,72,Botswana,61861.5437,62823.2552,64436.3174,66675.3382,69247.087,72094.5799,75259.1189,78725.9712,82940.1207,87417.7328,90560.629,93428.7081,96751.4209,99831.2312,103022.1407,106344.3981,109754.0487,113231.1418,116814.0295,120512.2861,124299.1655,128120.2435,132349.6271,137046.8118,141865.6096,146784.6014,151705.1121,156588.2584,161511.5258,166350.699,171014.9991,175542.79,180896.7714,186103.5588,191568.8127,197296.4934,203200.3758,209257.8997,215473.2989,221844.5969,228353.6785,234872.0819,239427.6379,242053.2347,244805.7998,247780.8263,251117.0612,254870.423,258986.4364,263616.6046,268993.4211,275257.4046,282520.1676,290435.6013,298465.5211,306613.5051,314707.6669,322732.2669,330579.8183,337896.2145,344983.5085,352093.0528,358900.7834,365455.8382,371900.542,377869.8131,383179.9781,388301.6255,393755.3872,398912.3915,403597.8926,408263.9423,412293.8481,415697.1172,419151.0936,422928.9081,427528.85,432863.1906,438170.6758,443350.8595,448644.0748
1,76,Brazil,12633841.99,13015743.13,13411160.17,13820170.08,14245852.21,14687794.78,15144649.03,15617420.85,16105284.41,16608596.41,17126886.51,17655849.46,18192331.4,18742523.34,19310936.5,19895361.64,20486425.99,21081104.96,21683144.07,22292546.62,22916610.17,23549830.93,24196056.04,24849278.98,25495395,26144343.43,26792666.03,27432714.02,28074103.15,28703156.69,29310629.89,29690843.58,30054719.23,30397520.1,30710861.93,30992220.85,31243420.06,31460654.91,31638626.47,31770188.92,31855234.18,31908607.87,31942039.15,31958764.17,31958993.73,31941536.7,31917041.21,31883282.82,31824532.38,31752660.63,31655836.66,31517907.58,31335693.38,31136601.88,30933191.19,30724200.07,30495873.29,30246366.7,29976747.61,29692252.54,29398121.67,29092018.77,28777904.79,28464337.09,28159372.68,27866589.01,27581787.84,27311897.84,27064958.59,26837415.38,26626433.81,26426869.17,26240297.24,26064024.57,25888266.73,25705696.92,25514599.29,25320300.25,25124301.45,24934529.13,24759183.22
1,84,Belize,15506.0861,15794.8815,16097.3102,16392.6464,16694.0293,17069.7132,17526.4262,18007.3753,18493.2669,18984.7878,19530.9753,20099.1848,20657.6837,21220.4903,21762.451,22289.6353,22828.6932,23383.6159,23936.615,24475.8696,25030.8005,25679.9265,26390.6176,27114.8578,27938.035,28953.6093,30195.3327,31608.991,33076.2954,34501.8279,35858.8271,37201.4766,38530.8799,39888.3074,41246.785,42604.648,43973.7445,45356.9861,46745.9575,48133.8147,49537.6316,50955.928,52366.5866,53784.4638,55214.9656,56660.3882,58252.1562,59843.9805,61160.8774,62251.1442,63268.0707,64231.5186,65626.357,67087.8529,68131.9924,69130.2214,70036.3904,70853.228,71572.811,72215.2153,72730.6983,73123.0475,73455.1376,73739.86,73971.2631,74083.2263,74081.4818,74056.7062,74016.8852,73885.3553,73652.9504,73318.0067,72935.1884,72586.2599,72192.539,71699.0874,71110.453,70497.1646,69923.7914,69336.1208,68722.8999
1,90,Solomon Islands,24267.8768,24751.9476,25269.7145,25819.5336,26400.8916,27006.0805,27734.7169,28565.927,29454.662,30398.6878,31400.5272,32467.2559,33602.025,34810.8632,36095.4261,37456.267,38897.0376,40367.6468,41862.3556,43421.9811,45044.3973,46735.946,48501.538,50337.3564,52235.1359,54188.1673,56196.7948,58261.2702,60380.5711,62535.9896,64578.3377,66509.485,68456.1741,70416.7637,72385.6409,74365.2391,76346.2843,78299.9197,80203.1174,82100.7955,84577.514,87639.0075,90775.437,94008.5819,97357.6361,100834.008,104450.1907,108153.695,111928.5262,114989.2964,117767.7563,120990.9082,124227.7564,127513.8218,130791.3615,134035.893,137269.3774,140512.7669,143778.1004,147063.9925,150364.6257,153650.7716,156899.4304,160058.4302,163076.4075,165937.4073,168632.3461,171186.4086,173642.1049,176009.7582,178328.8802,180653.494,182950.5106,185138.7231,187114.4557,188824.7688,190280.6899,191485.3104,192460.5702,193230.3805,193829.264
1,92,British Virgin Islands,1262.9376,1275.9961,1287.2915,1299.1641,1309.6063,1317.3037,1323.2254,1328.0119,1331.4252,1329.4645,1340.3614,1387.3091,1454.2688,1527.2225,1603.717,1683.8139,1768.7085,1855.8767,1947.6661,2041.0758,2134.6102,2217.9589,2283.5116,2337.8356,2386.2322,2433.2533,2481.5946,2528.2813,2571.598,2610.1495,2646.3323,2699.6145,2782.6338,2886.2351,2996.6602,3111.2688,3232.4611,3360.1725,3488.0038,3620.989,3679.4753,3841.7862,4115.9835,4346.6307,4566.8838,4842.6691,4721.6234,4489.9345,4824.6549,5127.8974,5250.9354,5360.2979,5411.7344,5452.2604,5473.7826,5473.217,5455.3784,5416.1282,5362.8767,5299.2454,5224.9583,5146.5893,5063.6704,4982.1068,4905.3418,4823.1872,4741.5005,4661.136,4586.1201,4522.2641,4462.0242,4414.3552,4372.6018,4328.6555,4287.6673,4251.6837,4223.0434,4202.3654,4191.396,4181.9838,4166.8838
1,96,Brunei Darussalam,16482.5631,16995.3707,17535.8241,18196.5151,18942.4272,19762.4292,20643.8111,21587.3888,22546.0023,23494.2787,24451.8912,25413.0697,26552.8602,27901.4,29320.8062,30816.1427,32383.1559,33844.3802,35192.865,36571.1151,37966.2505,39267.3497,40510.3084,41819.4962,43174.707,44553.4188,45913.608,47236.1092,48512.16,49752.5669,50962.325,52112.1344,53193.5643,54174.8929,55058.5575,55860.9919,56575.9264,57249.7133,58019.824,58981.1562,60145.2959,61183.2376,61746.6923,62026.3332,62295.1708,62550.2684,62779.6594,62969.4544,63116.8104,63250.3564,63395.8903,63586.4045,63766.0106,63899.448,63953.2,63907.079,63827.8997,63720.1685,63579.438,63386.5042,63153.6924,62908.8766,62640.9669,62383.1278,62147.186,61876.2099,61577.801,61283.957,61044.1306,60834.0503,60605.0622,60396.9038,60197.3644,59992.1645,59808.0504,59656.9558,59542.8517,59487.1417,59490.0173,59508.322,59524.2273
1,100,Bulgaria,1624919.812,1626844.765,1624967.338,1623335.309,1621786.411,1617335.214,1612561.03,1608984.321,1600334.477,1593033.332,1591259.015,1590003.654,1588056.284,1584259.733,1580286.826,1576277.952,1561350.857,1548271.837,1539197.097,1523402.212,1496080.707,1465846.677,1433762.242,1410412.164,1398006.94,1383412.377,1362646.344,1339460.984,1316320.747,1292609.718,1267099.929,1243270.754,1221889.819,1199998.268,1178522.315,1156044.855,1132330.813,1109202.82,1086697.377,1064781.002,1042409.585,1019217.581,995761.2869,975747.6377,958864.1732,942730.2269,926802.4689,909893.276,890648.1257,869164.9314,850883.935,834171.9196,818078.9243,801745.6072,782011.5701,761824.8658,741631.5234,721222.6569,701890.0847,684376.5261,668447.4078,653678.3226,639540.3905,625733.1322,612678.0795,600102.8338,586762.2092,573229.663,559914.9938,547138.721,535550.5349,525826.7092,518838.7659,513869.97,510523.6718,509150.1676,508808.9248,510078.831,512336.8506,512720.0074,511816.1639
1,104,Myanmar,4044498.956,4133650.906,4226874.488,4315965.28,4384004.594,4456071.132,4529305.41,4606268.911,4688814.839,4774474.633,4864412.118,4956622.588,5046639.329,5149992.007,5270043.097,5393678.463,5519222.386,5646066.889,5775796.709,5907215.145,6038405.159,6165644.068,6289803.689,6414534.23,6540262.308,6666199.083,6792580.886,6922004.299,7052213.79,7171321.271,7273830.913,7364451.781,7446130.927,7521287.761,7591482.301,7654625.854,7708859.915,7756271.095,7789055.074,7821914.985,7869350.413,7921371.782,7975074.257,8026411.96,8072584.697,8111317.808,8144508.36,8172391.213,8192127.999,8207217.314,8223124.385,8243075.984,8264428.13,8283422.088,8298778.758,8311136.747,8320357.856,8327020.395,8329315.446,8325717.094,8317794.719,8307025.433,8291325.65,8267876.861,8238397.375,8208579.869,8183094.864,8163150.851,8147762.619,8131902.709,8112469.231,8090344.796,8065459.377,8037831.026,8008407.652,7978654.955,7948246.185,7916797.311,7885203.715,7853650.779,7820806.794
