"division_numeric_code","start_date","end_date","is_in_union","age_range","data_series_type","group_type_relative_to_baseline","contraceptive_use_modern","contraceptive_use_traditional","contraceptive_use_any","unmet_need_any","geographical_region_bias_reason","has_non_pregnant_and_other_positive_biases","age_group_bias","modern_method_bias","has_absence_of_probing_questions_bias","se_modern","se_traditional","se_unmet_need","se_log_r_modern_no_use","se_log_r_traditional_no_use","se_log_r_unmet_no_need","source_id"
51,2005.665753,2005.99726,"Y","15-49","DHS","MW",0.1947972704,0.335886899,0.5306841694,0.1934117881,"","N","None","None","N",0.008805317,0.010174037,0.009459245,0.063227948,0.051540404,0.06321745,1843
51,2010.747945,2010.99726,"Y","15-49","DHS","MW",0.268155655,0.2807148206,0.5488704756,0.1349105577,"","N","None","None","N",0.013475088,0.010667985,0.008244419,0.07499327,0.058107057,0.072350098,5046
51,2015.915068,2016.327869,"Y","15-49","DHS","MW",0.2799093638,0.2915826051,0.5714919688,0.1250047529,"","N","None","None","N",0.008585844,0.008930389,0.006169811,0.045763841,0.046486081,0.06161063,5806
36,1986,1986,"Y","15-49","National survey","MW",0.722,0.039,0.761,NA,"","N","+","None","Y",NA,NA,NA,NA,NA,NA,2757
36,2005.643836,2006.186301,"Y","15-49","National survey","MW",0.63058,0.02104,0.65162,NA,"","N","+","None","Y",NA,NA,NA,NA,NA,NA,5603
36,2008.620219,2009.158904,"Y","15-49","National survey","MW",0.5921,0.0275,0.6196,NA,"","N","+","None","Y",NA,NA,NA,NA,NA,NA,6026
36,2011.572603,2012.122951,"Y","15-49","National survey","MW",0.6512,0.0263,0.6775,NA,"","N","+","None","Y",NA,NA,NA,NA,NA,NA,6002
36,2015.569863,2016.101093,"Y","15-49","National survey","MW",0.6465,0.0228,0.6693,NA,"","N","+","None","Y",NA,NA,NA,NA,NA,NA,7344
40,1995.915068,1996.412568,"Y","15-49","Other","MW",0.468325548,0.0419823931,0.5103079411,NA,"","N","+","None","Y",NA,NA,NA,NA,NA,NA,2848
40,2008.704918,2009.123288,"Y","15-49","Other","MW",0.676,0.02,0.696,NA,"","N","+","+","Y",NA,NA,NA,NA,NA,NA,5426
40,2012.724044,2013.4,"Y","15-49","Other","MW",0.6301042287,0.02642151841,0.6565257471,NA,"","N","+","+","Y",NA,NA,NA,NA,NA,NA,6025
31,2000.581967,2000.65847,"Y","15-49","MICS","MW",0.1667446211,0.3840037418,0.550748363,NA,"","N","None","None","Y",NA,NA,NA,NA,NA,NA,1912
31,2001.246575,2001.578082,"Y","15-49","Other","MW",0.119,0.435,0.554,0.115,"","N","?","None","N",NA,NA,NA,NA,NA,NA,1670
31,2006.49589,2006.912329,"Y","15-49","DHS","MW",0.1428765423,0.3684373478,0.5113138901,0.1540406,"","N","None","None","N",0.006937499,0.010738062,0.007025425,0.063018527,0.050775299,0.053042072,179
31,2011.580822,2011.830137,"Y","15-49","National survey","MW",0.139,0.41,0.549,NA,"","N","None","None","N",NA,NA,NA,NA,NA,NA,7530
44,1988,1988,"Y","15-49","Other","MW",0.6012502,0.0160498,0.6173,NA,"","Y","?","None","N",NA,NA,NA,NA,NA,NA,2777
48,1989,1989,"Y","15-49","Other","MW",0.303,0.235,0.538,NA,"Data pertain to nationals of the country.","N","None","None","N",NA,NA,NA,NA,NA,NA,145
48,1995,1995,"Y","15-49","Other","MW",0.306,0.312,0.618,NA,"Data pertain to nationals of the country.","N","None","None","N",NA,NA,NA,NA,NA,NA,181
48,2000,2000,"Y","15-49","MICS","MW",NA,NA,0.534,NA,"","N","None","None","N",NA,NA,NA,NA,NA,NA,9008
50,1975,1976,"Y","15-49","Other","MW",0.05,0.03,0.079,NA,"","N","None","None","N",NA,NA,NA,NA,NA,NA,749
50,1979.665753,1980,"Y","15-49","Other","MW",0.088,0.033,0.121,NA,"","N","?","None","N",NA,NA,NA,NA,NA,NA,822
50,1981.328767,1981.580822,"Y","15-49","Other","MW",0.11,0.076,0.186,NA,"","N","?","None","N",NA,NA,NA,NA,NA,NA,653
50,1983.747945,1984,"Y","15-49","Other","MW",0.138,0.054,0.191,NA,"","N","?","None","N",NA,NA,NA,NA,NA,NA,164
50,1985.915068,1986.246575,"Y","15-49","Other","MW",0.184,0.069,0.253,NA,"","N","?","None","N",NA,NA,NA,NA,NA,NA,801
50,1988.915301,1989.246575,"Y","15-49","National survey","MW",0.232,0.076,0.308,NA,"","N","?","None","N",NA,NA,NA,NA,NA,NA,828
50,1989.161644,1989.49589,"Y","15-49","Other","MW",0.245,0.07,0.314,NA,"","N","?","None","N",NA,NA,NA,NA,NA,NA,161
50,1991,1991,"Y","15-49","Other","MW",0.312,0.087,0.399,NA,"","N","?","None","N",NA,NA,NA,NA,NA,NA,2802
50,1993.832877,1994.243836,"Y","15-49","DHS","MW",0.3620771179,0.08360339735,0.4456805152,0.2173892891,"","N","None","None","N",0.007854302,0.003535727,0.005245509,0.035018878,0.048239867,0.035563338,1814
50,1996.833333,1997.243836,"Y","15-49","DHS","MW",0.4156279832,0.07678646115,0.4924144444,0.1979962585,"","N","None","None","N",0.00848849,0.003955258,0.005985992,0.036626906,0.058932405,0.037250849,1815
50,1999.832877,2000.245902,"Y","15-49","DHS","MW",0.4346984538,0.1030144609,0.5377129147,0.1847256463,"","N","None","None","N",0.008344674,0.004461244,0.005666179,0.035877468,0.051247595,0.037541513,1816
50,2001,2001.493151,"Y","15-49","National survey","MW",0.439,0.063,0.502,NA,"","N","None","None","Y",NA,NA,NA,NA,NA,NA,5047
50,2004,2004.412568,"Y","15-49","DHS","MW",0.4728889795,0.1077758504,0.5806648299,0.1519374699,"","N","None","None","N",0.009036736,0.003977748,0.005300453,0.039323823,0.045732447,0.039972169,1813
50,2007.161644,2007.663014,"Y","15-49","DHS","MW",0.4745693037,0.08333395107,0.5579032548,0.1678745894,"","N","None","None","N",0.008123493,0.003673924,0.005328499,0.034578216,0.051463823,0.039499422,1840
50,2011.49589,2011.99726,"Y","15-49","DHS","MW",0.5205129875,0.0916137593,0.6121267468,0.134735596,"","N","None","None","N",0.005521121,0.00309957,0.003462964,0.023031652,0.038736759,0.031618065,5048
50,2012.915301,2013.326027,"Y","15-49","MICS","MW",0.5926917143,0.02488371593,0.6175754302,0.138952247,"","N","None","None","Y",0.003622931,0.000864958,0.002395881,0.015481321,0.03700405,0.021033735,5595
50,2014.413699,2014.912329,"Y","15-49","DHS","MW",0.5405530282,0.08392009347,0.6244731217,0.1201001095,"","N","None","None","N",0.006400408,0.003787065,0.00459328,0.02838184,0.054012252,0.046407088,5787
50,2016.639344,2017.109589,"Y","15-49","National survey","MW",0.56,0.067,0.628,NA,"","N","None","None","Y",NA,NA,NA,NA,NA,NA,7618
