"division_numeric_code","start_date","end_date","is_in_union","age_range","data_series_type","group_type_relative_to_baseline","contraceptive_use_modern","contraceptive_use_traditional","contraceptive_use_any","unmet_need_any","geographical_region_bias_reason","has_non_pregnant_and_other_positive_biases","age_group_bias","modern_method_bias","has_absence_of_probing_questions_bias","se_modern","se_traditional","se_unmet_need","se_log_r_modern_no_use","se_log_r_traditional_no_use","se_log_r_unmet_no_need","source_id"
231,2020.748634,2020.997268,"Y","15-49","PMA","MW",0.356,0.021,0.377,0.192,"","N","None","None","N",NA,NA,NA,NA,NA,NA,9156
242,1974,1974,"Y","15-49","Other","MW",0.35,0.06,0.409,NA,"","N","None","None","N",NA,NA,NA,NA,NA,NA,3088
246,1989.49589,1990.082192,"Y","15-49","Other","MW",0.754025321,0.02019686163,0.7742221826,NA,"","N","+","+","Y",NA,NA,NA,NA,NA,NA,2794
246,1992,1992,"Y","15-49","National survey","MW",0.7548076923,0.03365384615,0.7884615385,NA,"","N","+","None","N",NA,NA,NA,NA,NA,NA,7511
246,1999,1999,"Y","15-49","National survey","MW",0.7284768212,0.06622516556,0.7947019868,NA,"","N","+","None","N",NA,NA,NA,NA,NA,NA,3092
246,2007,2007,"Y","15-49","National survey","MW",0.6888888889,0.05333333333,0.7422222222,NA,"","N","+","None","Y",NA,NA,NA,NA,NA,NA,7512
246,2015,2015,"Y","15-49","National survey","MW",0.8156424581,0.03910614525,0.8547486034,NA,"","N","+","None","N",NA,NA,NA,NA,NA,NA,7513
250,1977.915068,1978.99726,"Y","15-49","Other","MW",0.476,0.311,0.787,NA,"","N","+","None","N",NA,NA,NA,NA,NA,NA,3095
250,1988,1988,"Y","15-49","National survey","MW",0.666,0.146,0.812,NA,"","N","+","None","N",NA,NA,NA,NA,NA,NA,2781
250,1994,1994.326027,"Y","15-49","Other","MW",0.693,0.053,0.746,0.074,"","N","None","None","Y",NA,NA,NA,NA,NA,NA,2837
250,2004.784153,2005.115068,"Y","15-49","National survey","MW",0.748,0.017,0.766,0.017,"","N","None","+","Y",NA,NA,NA,NA,NA,NA,4953
250,2005.734247,2005.920548,"Y","15-49","Other","MW",0.721,0.01,0.732,NA,"","N","+","+","Y",NA,NA,NA,NA,NA,NA,5430
250,2008.800546,2008.945355,"Y","15-49","Other","MW",0.71,0.04,0.75,NA,"","N","+","-","Y",NA,NA,NA,NA,NA,NA,5431
250,2010.413699,2011.082192,"Y","15-49","National survey","MW",0.727,0.057,0.784,NA,"","N","None","None","N",NA,NA,NA,NA,NA,NA,5589
266,2000.497268,2001.082192,"Y","15-49","DHS","MW",0.1339699492,0.1935021602,0.3274721094,0.2786966905,"","N","None","None","N",0.007239245,0.008899524,0.008880236,0.06189712,0.056743057,0.050606206,1737
266,2012,2012.412568,"Y","15-49","DHS","MW",0.1941697992,0.1172790573,0.3114488565,0.2645679712,"","N","None","None","N",NA,NA,NA,NA,NA,NA,5054
270,1990,1990,"Y","15-49","Other","MW",0.067,0.051,0.118,NA,"","N","None","None","N",NA,NA,NA,NA,NA,NA,2797
270,2000.330601,2000.494536,"Y","15-49","MICS","MW",0.087106588,0.00781236189,0.09491894989,NA,"","N","None","None","Y",0.00661503,0.001934632,NA,0.082806611,0.249545923,NA,1907
270,2001.561644,2001.852055,"Y","15-49","National survey","MW",0.134,0.041,0.175,NA,"","N","None","None","N",NA,NA,NA,NA,NA,NA,2363
270,2010.246575,2010.663014,"Y","15-49","MICS","MW",0.1021111819,0.03077390946,0.1328850913,0.215,"","N","None","None","Y",0.005745617,0.002758537,0.006307807,0.063488085,0.094122346,0.033278621,4998
270,2013.084932,2013.326027,"Y","15-49","DHS","MW",0.08079105936,0.00886729914,0.08965835851,0.2491831215,"","N","None","None","N",NA,NA,NA,NA,NA,NA,5462
270,2018,2018.326027,"Y","15-49","MICS","MW",0.1626613832,0.00415652987,0.1668179131,0.265,"","N","None","None","Y",0.006253161,0.000904764,0.008004903,0.045959661,0.218879636,0.037847659,7579
270,2019.832877,2020.245902,"Y","15-49","DHS","MW",0.1701456898,0.01897577743,0.1891214672,0.2417144581,"","N","None","None","N",0.006655096,0.002495715,0.006099164,0.047118205,0.134040463,0.034316655,7686
268,1999.832877,2000.245902,"Y","15-49","Other","MW",0.198,0.207,0.405,0.238,"","N","?","None","N",NA,NA,NA,NA,NA,NA,107
268,2005.832877,2005.99726,"Y","15-49","MICS","MW",0.2162985376,0.09912800761,0.3154265452,NA,"","N","None","None","Y",0.007858857,0.005153432,NA,0.049030307,0.061576254,NA,1900
268,2005.161644,2005.663014,"Y","15-49","Other","MW",0.266,0.207,0.473,0.163,"","N","?","None","N",NA,NA,NA,NA,NA,NA,715
268,2006.161644,2006.408219,"Y","15-49","Other","MW",0.314,0.145,0.459,NA,"","N","+","+","Y",NA,NA,NA,NA,NA,NA,5433
268,2009.246575,2009.493151,"Y","15-49","Other","MW",0.23,0.092,0.322,NA,"","N","+","-","Y",NA,NA,NA,NA,NA,NA,5432
268,2010.747945,2011.158904,"Y","15-49","Other","MW",0.347,0.185,0.534,0.123,"","N","?","None","N",NA,NA,NA,NA,NA,NA,5453
268,2018.665753,2018.99726,"Y","15-49","MICS","MW",0.312030061,0.08054370432,0.3925737653,0.237,"","N","None","None","N",0.009445534,0.005673519,0.007452504,0.045617427,0.0787377,0.056310928,7580
276,1970.832877,1971.082192,"Y","15-49","National survey","MW",0.49375,0.2070833333,0.7008333333,NA,"","N","+","None","Y",NA,NA,NA,NA,NA,NA,9015
276,1972.330601,1972.494536,"Y","15-49","National survey","MW",0.6058007173,0.2159675659,0.8217682832,NA,"","N","None","None","N",NA,NA,NA,NA,NA,NA,9016
276,1985.747945,1985.912329,"Y","15-49","National survey","MW",0.676,0.103,0.779,NA,"Data pertain to West Germany only.","N","?","None","N",NA,NA,NA,NA,NA,NA,6030
276,1992.497268,1992.579235,"Y","15-49","Other","MW",0.6547017036,0.04485342334,0.699555127,NA,"","N","+","None","Y",NA,NA,NA,NA,NA,NA,2821
276,2005.142466,2005.358904,"Y","15-49","Other","MW",0.645,0.038,0.684,NA,"","N","+","+","Y",NA,NA,NA,NA,NA,NA,5434
276,2008.084699,2008.245902,"Y","15-49","Other","MW",0.491,0.013,0.504,NA,"","N","+","-","Y",NA,NA,NA,NA,NA,NA,5435
276,2011.030137,2011.082192,"Y","15-49","National survey","MW",0.802,0.001,0.803,NA,"","N","+","None","N",NA,NA,NA,NA,NA,NA,7519
288,1979.161644,1980.245902,"Y","15-49","Other","MW",0.055,0.04,0.095,NA,"","N","None","None","N",NA,NA,NA,NA,NA,NA,658
288,1988.084699,1988.494536,"Y","15-49","DHS","MW",0.05164765526,0.07699619772,0.128643853,0.352,"","N","None","None","N",NA,NA,NA,NA,NA,NA,1753
288,1993.665753,1994.158904,"Y","15-49","DHS","MW",0.1011235955,0.1014357054,0.2025593009,0.3689138577,"","N","None","None","N",0.006150405,0.006570307,0.009576659,0.070439329,0.074744537,0.049266848,1754
288,1998.832877,1999.158904,"Y","15-49","DHS","MW",0.132978921,0.08670501833,0.2196839393,0.3473885699,"","N","None","None","N",0.006784147,0.006039933,0.009424952,0.059431366,0.077011733,0.045005321,1751
288,2003.49589,2003.830137,"Y","15-49","DHS","MW",0.186649293,0.06509646598,0.251745759,0.3447600217,"","N","None","None","N",0.008791391,0.005408834,0.009079522,0.058700759,0.090117732,0.04063893,1752
288,2006.580822,2006.830137,"Y","15-49","MICS","MW",0.1400796327,0.02623809291,0.1663177256,NA,"","N","None","None","Y",0.007986867,0.00365899,NA,0.067085852,0.144912971,NA,166
288,2008.666667,2008.912568,"Y","15-49","DHS","MW",0.1657341343,0.06942646833,0.2351606026,0.3566763761,"","N","None","None","N",0.008473613,0.00554551,0.010452766,0.062941275,0.088306403,0.048008306,4688
288,2011.665753,2011.99726,"Y","15-49","MICS","MW",0.2480882469,0.09890958377,0.3469978307,0.264,"","N","None","None","Y",0.007784882,0.006744481,0.008426143,0.044208103,0.079397928,0.042768632,5000
288,2013.49589,2013.912329,"Y","15-49","PMA","MW",0.1823941711,0.01098937388,0.1956995013,0.3727714239,"","N","None","None","Y",0.013133054,0.003278803,0.013998696,0.087533249,0.302139796,0.059158384,5602
288,2014.084932,2014.410959,"Y","15-49","PMA","MW",0.1662733692,0.01654657483,0.18345054,0.3794582781,"","N","None","None","Y",0.012385377,0.005726116,0.0148993,0.085827804,0.327915742,0.061772723,5766
288,2014.665753,2014.99726,"Y","15-49","PMA","MW",0.2042925831,0.04217968424,0.249004278,0.3174226624,"","N","None","None","Y",0.013063844,0.007399826,0.016175336,0.08060038,0.182244513,0.076450815,5767
288,2014.665753,2014.99726,"Y","15-49","DHS","MW",0.2219058006,0.04483631955,0.2667421202,0.2989716071,"","N","None","None","N",0.008901581,0.004493475,0.007963907,0.052450767,0.106718553,0.03905529,5778
288,2015.328767,2015.493151,"Y","15-49","PMA","MW",0.2822380016,0.04437892122,0.3288219255,0.2880447079,"","N","None","None","N",0.016020395,0.005546691,0.016273677,0.080829865,0.116665651,0.080087802,5995
288,2016.581967,2016.912568,"Y","15-49","PMA","MW",0.2367924807,0.04279029636,0.2819639901,0.32275912,"","N","None","None","N",0.015272768,0.008347309,0.010913624,0.079889941,0.185822983,0.06670198,7360
288,2017.786301,2018.038356,"Y","15-49","MICS","MW",0.2426401287,0.02980412732,0.272444256,0.3359627036,"","N","None","None","Y",NA,NA,NA,NA,NA,NA,5636
288,2017.413699,2017.830137,"Y","15-49","National survey","MW",0.25,0.058,0.308,NA,"","N","None","None","N",NA,NA,NA,NA,NA,NA,5809
288,2017.665753,2017.912329,"Y","15-49","PMA","MW",0.2670808314,0.04911350436,0.3178017481,0.2507011366,"","N","None","None","N",0.021244971,0.005911212,0.018736979,0.11023485,0.129513027,0.123724683,7497
300,1999,1999.578082,"Y","15-49","Other","SA",0.336,0.277,0.613,NA,"","N","+","+","Y",NA,NA,NA,NA,NA,NA,2887
308,1985,1985,"Y","15-49","Other","MW",0.27435,0.03565,0.31,NA,"","N","?","None","N",NA,NA,NA,NA,NA,NA,2751
308,1990,1990,"Y","15-49","Other","MW",NA,NA,0.543,NA,"","N","?","None","N",NA,NA,NA,NA,NA,NA,2798
320,1977,1978,"Y","15-49","Other","MW",0.1521666667,0.02883333333,0.182,NA,"","N","None","None","Y",NA,NA,NA,NA,NA,NA,28
320,1983.665753,1983.99726,"Y","15-49","Other","MW",0.206,0.044,0.25,NA,"","N","?","None","N",NA,NA,NA,NA,NA,NA,2734
320,1987.665753,1987.99726,"Y","15-49","DHS","MW",0.1898134439,0.04175303524,0.2315664791,0.294,"","N","?","None","N",NA,NA,NA,NA,NA,NA,1763
320,1995.413699,1995.99726,"Y","15-49","DHS","MW",0.2685656102,0.04536822593,0.3139338361,0.2807937989,"","N","None","None","N",0.014160899,0.003676023,0.009653753,0.074707792,0.093045835,0.036604063,1770
320,1998.832877,1999.410959,"Y","15-49","National survey","MW",0.3087477739,0.07339039702,0.3821381709,0.2683864245,"","N","None","None","N",0.023093073,0.008026999,0.013236021,0.116202628,0.136856252,0.044164809,207
320,2002.315068,2002.882192,"Y","15-49","Other","MW",0.344,0.089,0.433,0.276,"","N","None","None","N",NA,NA,NA,NA,NA,NA,173
320,2008.748634,2009.493151,"Y","15-49","Other","MW",0.44,0.101,0.541,0.208,"","N","None","None","N",NA,NA,NA,NA,NA,NA,3119
320,2014.747945,2015.493151,"Y","15-49","DHS","MW",0.4880040432,0.1182037866,0.6062078299,0.1391243916,"","N","None","None","N",0.006764542,0.003654901,0.003886078,0.029265023,0.038055618,0.033320014,5790
324,1992.330601,1992.579235,"Y","15-49","DHS","MW",0.01,0.007,0.017,0.247,"","N","None","None","N",NA,NA,NA,NA,NA,NA,1738
324,1999.328767,1999.578082,"Y","15-49","DHS","MW",0.04216703363,0.02012222614,0.06228925976,0.2481551757,"","N","None","None","N",0.003219859,0.002298028,0.006898907,0.080097093,0.117077567,0.037950645,1739
324,2005.084932,2005.493151,"Y","15-49","DHS","MW",0.05670142637,0.03428361586,0.09098504223,0.2191473544,"","N","None","None","N",0.004167635,0.004512319,0.006484891,0.078284912,0.136696257,0.038364946,1740
324,2012.415301,2012.830601,"Y","15-49","DHS","MW",0.04632162156,0.00951860307,0.05584022462,0.2367666585,"","N","None","None","N",0.004212214,0.001439735,0.007051664,0.095444735,0.152953407,0.039835673,5422
324,2016,2016,"Y","15-49","MICS","MW",0.07753452811,0.00886777929,0.0864023074,0.276,"","N","None","None","Y",0.004314418,0.001302291,0.0046311,0.060556625,0.148953351,0.045513605,5676
324,2018.084932,2018.493151,"Y","15-49","DHS","MW",0.1020364371,0.00663216146,0.1086685985,0.2205846109,"","N","None","None","N",0.007792395,0.001292413,0.005799805,0.085322756,0.197713107,0.033795534,7623
624,2000.273224,2000.396175,"Y","15-49","MICS","MW",0.04438213411,0.03205288702,0.07643502113,NA,"","N","None","None","N",NA,NA,NA,NA,NA,NA,1895
624,2006.358904,2006.443836,"Y","15-49","MICS","MW",0.09525274438,0.00744331367,0.102696058,NA,"","N","None","None","Y",0.0055875,0.001472706,NA,0.064787125,0.199137979,NA,176
624,2010.191781,2010.523288,"Y","15-49","MICS","MW",0.131,0.011,0.142,0.06,"","N","None","None","N",NA,NA,NA,NA,NA,NA,5002
624,2014.161644,2014.578082,"Y","15-49","MICS","MW",0.1437259043,0.01588552796,0.1596114322,0.2231656276,"","N","None","None","Y",0.007204755,0.002303319,0.006440751,0.059038229,0.148836226,0.037726475,5637
624,2018,2019,"Y","15-49","MICS","MW",0.201618943,0.00482487638,0.2120150305,0.211290987,"","N","None","None","Y",NA,NA,NA,NA,NA,NA,7571
328,1975.328767,1975.493151,"Y","15-49","Other","MW",0.234,0.074,0.295,NA,"","N","None","None","N",NA,NA,NA,NA,NA,NA,3120
328,1991,1992,"Y","15-49","Other","MW",0.369,0.013,0.382,NA,"","N","?","None","N",NA,NA,NA,NA,NA,NA,2809
328,2000.581967,2000.830601,"Y","15-49","MICS","MW",0.3629191262,0.01000492266,0.3729240488,NA,"","N","None","None","Y",0.01221895,0.002177798,NA,0.053663026,0.223800999,NA,1939
328,2005.413699,2005.745205,"Y","15-49","National survey","MW",0.336,0.01,0.346,NA,"","N","None","None","N",NA,NA,NA,NA,NA,NA,139
328,2006.243836,2007.038356,"Y","15-49","MICS","MW",0.3298895053,0.01179271615,0.3416822215,NA,"","N","None","None","Y",0.01144542,0.002856443,NA,0.051507227,0.244715533,NA,1893
328,2009.161644,2009.578082,"Y","15-49","DHS","MW",0.3995437886,0.02529803053,0.4248418192,0.2845895015,"","N","None","None","N",0.011972855,0.003647452,0.011074167,0.050155794,0.148602451,0.058382209,4701
328,2014,2014,"Y","15-49","MICS","MW",0.3256591276,0.01325976028,0.3389188879,0.2801973942,"","N","None","None","Y",0.011096594,0.002382653,0.010555932,0.05060139,0.182622351,0.059919965,5675
328,2019.413699,2020.15847,"Y","15-49","MICS","MW",0.2858985748,0.01237050278,0.2987713952,0.3050498788,"","N","None","None","Y",NA,NA,NA,NA,NA,NA,7811
332,1977,1977,"Y","15-49","Other","MW",0.054,0.135,0.189,NA,"","N","None","None","N",NA,NA,NA,NA,NA,NA,791
332,1983,1983,"Y","15-49","Other","MW",0.039,0.03,0.069,NA,"","N","None","None","N",NA,NA,NA,NA,NA,NA,718
332,1987,1987,"Y","15-49","National survey","MW",0.05,0.019,0.067,NA,"","N","None","None","N",NA,NA,NA,NA,NA,NA,2769
332,1989.665753,1989.830137,"Y","15-49","Other","MW",0.094,0.008,0.102,0.272,"","N","None","None","N",NA,NA,NA,NA,NA,NA,4521
332,1994.49589,1995.082192,"Y","15-49","DHS","MW",0.1323475755,0.04716112943,0.1795087049,0.4465279781,"","N","None","None","N",0.008540169,0.004185454,0.012403532,0.074737663,0.093665798,0.057430492,1764
332,2000.084699,2000.579235,"Y","15-49","DHS","MW",0.2284480408,0.05223823322,0.280686274,0.3958744955,"","N","None","None","N",0.011135027,0.005385654,0.013396068,0.060880673,0.103831168,0.06938565,1765
332,2005.747945,2006.493151,"Y","15-49","DHS","MW",0.248366314,0.07192259918,0.3202889132,0.3734476319,"","N","None","None","N",0.009246669,0.004360465,0.008563324,0.04972558,0.065214852,0.040507924,1785
332,2012,2012.494536,"Y","15-49","DHS","MW",0.312747392,0.03227178962,0.3450191816,0.3533596125,"","N","None","None","N",0.008942054,0.002759825,0.007619881,0.042250343,0.090108202,0.038304537,5451
332,2016.833333,2017.326027,"Y","15-49","DHS","MW",0.3181359482,0.0250779887,0.3432139369,0.3796387,"","N","None","None","N",0.008690622,0.002533992,0.006750505,0.040830652,0.106069216,0.033685768,5825
340,1981,1981,"Y","15-49","Other","MW",0.236,0.033,0.269,NA,"","N","None","None","N",NA,NA,NA,NA,NA,NA,120
340,1984.084699,1985.084932,"Y","15-49","National survey","MW",0.304,0.046,0.349,NA,"","N","?","None","N",NA,NA,NA,NA,NA,NA,135
340,1987.432877,1987.884932,"Y","15-49","National survey","MW",0.329,0.076,0.406,0.158,"","N","?","None","N",NA,NA,NA,NA,NA,NA,157
340,1991,1992,"Y","15-49","Other","MW",0.347,0.12,0.467,0.132,"","N","?","None","N",NA,NA,NA,NA,NA,NA,707
340,1996,1996.745902,"Y","15-49","Other","MW",0.403,0.09,0.492,0.18,"","N","?","None","Y",NA,NA,NA,NA,NA,NA,199
340,2001.084932,2001.745205,"Y","15-49","Other","MW",0.5096457827,0.1085150552,0.6177493922,0.112,"","N","?","None","N",NA,NA,NA,NA,NA,NA,640
340,2005.747945,2006.410959,"Y","15-49","DHS","MW",0.5636006661,0.0887218621,0.6523225282,0.1677900889,"","N","None","None","N",0.005986113,0.003377032,0.004193209,0.026191698,0.044958927,0.038013613,1788
340,2011.665753,2012.579235,"Y","15-49","DHS","MW",0.6384557519,0.09383065591,0.7322864078,0.1057931567,"","N","None","None","N",0.00527541,0.003143788,0.0031975,0.02469287,0.039919173,0.039351398,5056
340,2019.438356,2019.950685,"Y","15-49","MICS","MW",0.6650556463,0.02837867582,0.6937368062,0.1287462262,"","N","None","None","Y",NA,NA,NA,NA,NA,NA,7581
348,1958,1958,"Y","15-49","National survey","MW",0.18,0.4,0.58,NA,"","N","?","None","N",NA,NA,NA,NA,NA,NA,4982
348,1965,1966,"Y","15-49","National survey","MW",0.185,0.481,0.666,NA,"","N","?","None","N",NA,NA,NA,NA,NA,NA,5099
348,1969,1969,"Y","15-49","National survey","MW",0.31,0.35,0.67,NA,"","N","?","None","N",NA,NA,NA,NA,NA,NA,5407
348,1972,1972,"Y","15-49","National survey","MW",0.4,0.33,0.73,NA,"","N","?","None","N",NA,NA,NA,NA,NA,NA,3128
348,1974,1974,"Y","15-49","National survey","MW",0.44,0.3,0.74,NA,"","N","?","None","N",NA,NA,NA,NA,NA,NA,5100
348,1975,1975,"Y","15-49","National survey","MW",0.52,0.24,0.76,NA,"","N","?","None","N",NA,NA,NA,NA,NA,NA,5101
348,1977.328767,1977.493151,"Y","15-49","Other","MW",0.522,0.209,0.731,NA,"","N","?","None","N",NA,NA,NA,NA,NA,NA,3129
348,1986,1986,"Y","15-49","National survey","MW",0.623,0.107,0.731,NA,"","N","?","None","N",NA,NA,NA,NA,NA,NA,2760
348,1992.833333,1993.99726,"Y","15-49","Other","MW",0.7130290893,0.09381869364,0.806847783,0.07,"","N","+","None","Y",NA,NA,NA,NA,NA,NA,2822
348,2008.833333,2009.084932,"Y","15-49","Other","MW",0.541,0.077,0.618,NA,"","N","+","-","Y",NA,NA,NA,NA,NA,NA,6010
356,1970.49589,1971.49589,"Y","15-49","National survey","MW",0.095,0.041,0.136,NA,"","N","?","None","N",NA,NA,NA,NA,NA,NA,1856
356,1980,1981,"Y","15-49","National survey","MW",0.281,0.073,0.353,NA,"","N","?","None","N",NA,NA,NA,NA,NA,NA,123
356,1988,1988,"Y","15-49","National survey","HW",0.399,0.05,0.449,NA,"","N","?","None","N",NA,NA,NA,NA,NA,NA,2782
356,1992.248634,1993.745205,"Y","15-49","DHS","MW",0.3630376445,0.04266760718,0.4057052516,0.2038200491,"","N","None","None","N",0.003772873,0.001383443,0.002643199,0.017275578,0.036399022,0.01462399,1789
356,1998.832877,1999.99726,"Y","15-49","DHS","MW",0.4284946388,0.05385013713,0.482344776,0.160978206,"","N","None","None","N",0.004623671,0.00171239,0.002290859,0.01893678,0.033372293,0.015558888,1790
356,2000,2000,"Y","15-49","MICS","MW",0.423,0.046,0.469,NA,"","N","None","None","N",NA,NA,NA,NA,NA,NA,2898
356,2002,2004,"Y","15-49","National survey","MW",0.457,0.073,0.53,0.211,"","N","?","None","N",NA,NA,NA,NA,NA,NA,1791
356,2004,2005,"Y","15-49","National survey","MW",NA,NA,0.544,NA,"","N","None","None","Y",NA,NA,NA,NA,NA,NA,5871
356,2005.832877,2006.663014,"Y","15-49","DHS","MW",0.4853359013,0.07797599794,0.5633118992,0.1391181996,"","N","None","None","N",NA,NA,NA,NA,NA,NA,1792
356,2007.915068,2008.994536,"Y","15-49","National survey","MW",0.482,0.066,0.548,0.205,"","N","None","None","N",NA,NA,NA,NA,NA,NA,5336
356,2015.052055,2016.923497,"Y","15-49","DHS","MW",0.477579169,0.05782306063,0.5354022296,0.1285760087,"","N","None","None","N",NA,NA,NA,NA,NA,NA,5565
356,2019.457534,2021.326027,"Y","15-49","DHS","MW",0.565,0.102,0.667,0.094,"","N","None","None","N",NA,NA,NA,NA,NA,NA,9090
360,1973,1973,"Y","15-49","National survey","MW",0.072,0.014,0.086,NA,"","N","None","None","N",NA,NA,NA,NA,NA,NA,5103
360,1976,1976,"Y","15-49","Other","MW",0.229,0.034,0.263,NA,"Data pertain to Java and Bali.","N","None","None","N",NA,NA,NA,NA,NA,NA,703
360,1979,1979,"Y","15-49","National survey","MW",0.246,0.068,0.312,NA,"","N","?","None","N",NA,NA,NA,NA,NA,NA,488
360,1985,1985,"Y","15-49","National survey","MW",0.3693523399,0.01581007115,0.3851624111,NA,"","N","?","None","Y",NA,NA,NA,NA,NA,NA,686
360,1987.665753,1987.99726,"Y","15-49","DHS","MW",0.439231855,0.03828398222,0.4775158373,0.16,"","N","None","None","N",NA,NA,NA,NA,NA,NA,1693
360,1991.328767,1991.578082,"Y","15-49","DHS","MW",0.4706638891,0.02613497221,0.4967988613,0.1703900236,"","N","None","None","N",0.007649516,0.001640358,0.004396991,0.031261096,0.066088701,0.028236084,1687
360,1993,1993,"Y","15-49","National survey","MW",0.512,0.02,0.531,NA,"","N","None","None","N",NA,NA,NA,NA,NA,NA,3133
360,1994.49589,1994.912329,"Y","15-49","DHS","MW",0.5205201397,0.02686570558,0.5473858453,0.1533614125,"","N","None","None","N",0.007059824,0.001487928,0.004229951,0.02883023,0.058304253,0.033235298,1688
360,1995,1995,"Y","15-49","National survey","MW",0.525,0.017,0.542,NA,"","N","None","None","N",NA,NA,NA,NA,NA,NA,489
360,1996,1996,"Y","15-49","National survey","MW",0.526,0.016,0.542,NA,"","N","None","None","N",NA,NA,NA,NA,NA,NA,491
360,1997.665753,1997.99726,"Y","15-49","DHS","MW",0.547269701,0.02695291556,0.5742226166,0.1359501169,"","N","None","None","N",0.006577644,0.001593209,0.003690882,0.027193124,0.062570966,0.031922578,1690
360,1998,1998,"Y","15-49","National survey","MW",0.542,0.013,0.554,NA,"","N","None","None","N",NA,NA,NA,NA,NA,NA,493
360,1999,1999,"Y","15-49","National survey","MW",0.543,0.011,0.554,NA,"","N","None","None","N",NA,NA,NA,NA,NA,NA,484
360,2000,2000,"Y","15-49","National survey","MW",0.538,0.01,0.548,NA,"","N","None","None","N",NA,NA,NA,NA,NA,NA,494
360,2001,2001,"Y","15-49","National survey","MW",0.518,0.008,0.525,NA,"","N","None","None","N",NA,NA,NA,NA,NA,NA,490
360,2002.747945,2003.326027,"Y","15-49","DHS","MW",0.5672288674,0.03605516171,0.6032840291,0.1324661248,"","N","None","None","N",0.007317076,0.00273134,0.003853053,0.029521827,0.077790572,0.032322413,1689
360,2002,2002,"Y","15-49","National survey","MW",NA,NA,0.542,NA,"","N","None","None","N",NA,NA,NA,NA,NA,NA,4523
360,2003,2003,"Y","15-49","National survey","MW",NA,NA,0.545,NA,"","N","None","None","N",NA,NA,NA,NA,NA,NA,4524
360,2004,2004,"Y","15-49","National survey","MW",NA,NA,0.567,NA,"","N","None","None","N",NA,NA,NA,NA,NA,NA,4525
360,2005,2005,"Y","15-49","National survey","MW",0.575,0.006,0.579,NA,"","N","None","None","N",NA,NA,NA,NA,NA,NA,3135
360,2005,2005,"Y","15-49","National survey","MW",0.571,0.001,0.572,NA,"","N","None","None","N",NA,NA,NA,NA,NA,NA,9
360,2006,2006,"Y","15-49","National survey","MW",0.565,0.014,0.579,NA,"","N","None","None","Y",NA,NA,NA,NA,NA,NA,5858
360,2007,2007,"Y","15-49","National survey","MW",0.561,0.014,0.574,NA,"","N","None","None","Y",NA,NA,NA,NA,NA,NA,5856
360,2007.413699,2008.161202,"Y","15-49","DHS","MW",0.5737080277,0.03992807945,0.6136361072,0.1314231239,"","N","None","None","N",0.005951083,0.002073463,0.003305017,0.024379726,0.053755592,0.031379026,739
360,2008,2008,"Y","15-49","National survey","MW",0.552,0.014,0.566,NA,"","N","None","None","Y",NA,NA,NA,NA,NA,NA,5857
360,2009,2009,"Y","15-49","National survey","MW",0.588,0.018,0.606,NA,"","N","None","None","Y",NA,NA,NA,NA,NA,NA,5859
360,2010,2010,"Y","15-49","National survey","MW",0.595,0.015,0.61,NA,"","N","None","None","Y",NA,NA,NA,NA,NA,NA,5860
360,2011,2011,"Y","15-49","National survey","MW",0.594,0.019,0.613,NA,"","N","None","None","Y",NA,NA,NA,NA,NA,NA,5861
360,2012.330601,2012.579235,"Y","15-49","National survey","MW",0.5786250376,0.04004328045,0.618668318,0.1137278418,"","N","None","None","N",0.004794427,0.001766101,0.002893642,0.020279903,0.047394092,0.028747041,5458
360,2012,2012,"Y","15-49","National survey","MW",0.606,0.018,0.624,NA,"","N","None","None","Y",NA,NA,NA,NA,NA,NA,5862
360,2013,2013,"Y","15-49","National survey","MW",0.609,0.01,0.62,NA,"","N","None","None","Y",NA,NA,NA,NA,NA,NA,5724
360,2014,2014,"Y","15-49","National survey","MW",0.605,0.011,0.616,NA,"","N","None","None","Y",NA,NA,NA,NA,NA,NA,5863
360,2015,2015,"Y","15-49","National survey","MW",0.607,0.008,0.615,NA,"","N","None","None","N",NA,NA,NA,NA,NA,NA,5980
360,2015.49589,2015.663014,"Y","15-49","PMA","MW",0.5957507795,0.01617822217,0.6119290016,0.1475987266,"","N","None","None","N",0.008370672,0.002353096,0.005981311,0.035333932,0.151192986,0.0513067,5994
360,2015,2015,"Y","15-49","National survey","MW",0.591,0.01,0.6,NA,"","N","None","None","Y",NA,NA,NA,NA,NA,NA,6038
360,2016.748634,2017.082192,"Y","15-49","PMA","MW",0.5905409051,0.0220697457,0.6131183537,0.1476159146,"","N","None","None","N",0.009115274,0.002519182,0.005460434,0.037937514,0.118487312,0.042924921,7479
360,2016,2016,"Y","15-49","National survey","MW",0.582,0.012,0.594,0.162,"","N","None","None","Y",NA,NA,NA,NA,NA,NA,7504
360,2017.49589,2017.745205,"Y","15-49","DHS","MW",0.5720058084,0.06406885813,0.6360746666,0.1060364613,"","N","None","None","N",0.003857022,0.001962762,0.002246433,0.016358261,0.034005321,0.025494846,7363
364,1976,1977,"Y","15-49","National survey","MW",0.259,0.101,0.36,NA,"","N","None","None","N",NA,NA,NA,NA,NA,NA,1872
364,1989,1989,"Y","15-49","National survey","MW",0.305,0.184,0.489,NA,"","N","None","None","N",NA,NA,NA,NA,NA,NA,2796
364,1992,1992,"Y","15-49","National survey","MW",0.446,0.2,0.646,NA,"","N","None","None","N",NA,NA,NA,NA,NA,NA,2823
